
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,10000,F,200,1,200,1,287578,RAN,BOM,1285.21,702.1,335,189,945
CMT,100,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,348,224,1120
CMT,200,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,350,218,1090
CMT,300,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,343,223,1115
CMT,400,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,344,204,1020
CMT,500,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,342,221,1105
;;TEST RADIUS: Fri Jan 28 17:22:14 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,10000,F,200,1,200,1,287578,RAN,BOM,1285.21,702.1,331,192,960
CMT,100,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,344,207,1035
CMT,200,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,339,202,1010
CMT,300,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,340,206,1030
CMT,400,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,350,216,1080
CMT,500,50,10000,F,200,1,200,1,287665,RAN,BOM,1264.81,680.35,347,201,1005
;;TEST RADIUS: Fri Jan 28 17:23:00 2022
;;[CLasses]:
;;[6CMTreeI8HMPointGILj50EE8HMMetricE],[8HMMetric, ]
sname,MADI,dim,dbSize,collection, nQueries,radius,nfound,aveNfound,radiusSum,Pivot,Partition,NNodesVistd,NDistCalls,btime,stime,stime_n1000
CMT,10,50,10000,F,200,1,188,0.94,287578,RAN,BOM,1290.15,704.44,343,202,1010
CMT,100,50,10000,F,200,1,188,0.94,287665,RAN,BOM,1269.14,682.225,351,224,1120
CMT,200,50,10000,F,200,1,188,0.94,287665,RAN,BOM,1269.14,682.225,356,222,1110
CMT,300,50,10000,F,200,1,188,0.94,287665,RAN,BOM,1269.14,682.225,364,202,1010
CMT,400,50,10000,F,200,1,188,0.94,287665,RAN,BOM,1269.14,682.225,343,207,1035
CMT,500,50,10000,F,200,1,188,0.94,287665,RAN,BOM,1269.14,682.225,345,231,1155
