rad,dbSize,DiffCount,nQueries,nfound,radiusSum,Pivo,Partitio,CMT<nodesVisited>, Baseline<nodesVisited>, CMT<numDistanceCalls>,Baseline<numDistanceCalls>,btime,stime
0.3,10000,0,1000,998,58197,RAN,BOM,499,7144,263,7144,431,1528
0.5,10000,0,1000,987,58318,RAN,BOM,484,7253,253,7253,425,1546
0.7,10000,0,1000,995,58349,RAN,BOM,503,7346,264,7346,417,1588
0.9,10000,0,1000,989,58263,RAN,BOM,488,7257,256,7257,412,1546
1.1,10000,0,1000,984,58205,RAN,BOM,6753,9551,4959,9551,416,6921
1.3,10000,0,1000,981,58283,RAN,BOM,6729,9487,4962,9487,410,6912
1.5,10000,0,1000,987,58222,RAN,BOM,6708,9552,4919,9552,410,7063
1.7,10000,0,1000,997,58278,RAN,BOM,6818,9571,4980,9571,423,6628
1.9,10000,0,1000,982,58199,RAN,BOM,6845,9538,5025,9538,392,6878
2.1,10000,0,1000,996,58201,RAN,BOM,9621,9941,9021,9941,423,9786
2.3,10000,0,1000,995,58316,RAN,BOM,9617,9938,9052,9938,417,9642
